data_point_id,indicator,period,company_id,company_name,dax_name
b74fe176-8886-4127-aa88-a45a32c386ac_eutaxonomy-non-financials_2023,eutaxonomy-non-financials,2023,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_sfdr_2023,sfdr,2023,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_sfdr_2024,sfdr,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedEnumYesNoLandDegradationDesertificationSoilSealingExposure_2023,extendedEnumYesNoLandDegradationDesertificationSoilSealingExposure,2023,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedEnumYesNoHighWaterStressAreaExposure_2023,extendedEnumYesNoHighWaterStressAreaExposure,2023,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedEnumYesNoSupplierCodeOfConduct_2023,extendedEnumYesNoSupplierCodeOfConduct,2023,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_plainDateSfdrDataDate_2024,plainDateSfdrDataDate,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope2GhgEmissionsInTonnes_2024,extendedDecimalScope2GhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope2GhgEmissionsLocationBasedInTonnes_2024,extendedDecimalScope2GhgEmissionsLocationBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope2GhgEmissionsMarketBasedInTonnes_2024,extendedDecimalScope2GhgEmissionsMarketBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope3GhgEmissionsInTonnes_2024,extendedDecimalScope3GhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope3UpstreamGhgEmissionsInTonnes_2024,extendedDecimalScope3UpstreamGhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedEnumYesNoFossilFuelSectorExposure_2024,extendedEnumYesNoFossilFuelSectorExposure,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2GhgEmissionsInTonnes_2024,extendedDecimalScope1And2GhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2GhgEmissionsLocationBasedInTonnes_2024,extendedDecimalScope1And2GhgEmissionsLocationBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2GhgEmissionsMarketBasedInTonnes_2024,extendedDecimalScope1And2GhgEmissionsMarketBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalGhgIntensityScope1InTonnesPerMillionEURRevenue_2024,extendedDecimalGhgIntensityScope1InTonnesPerMillionEURRevenue,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalGhgIntensityScope2InTonnesPerMillionEURRevenue_2024,extendedDecimalGhgIntensityScope2InTonnesPerMillionEURRevenue,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalGhgIntensityScope3InTonnesPerMillionEURRevenue_2024,extendedDecimalGhgIntensityScope3InTonnesPerMillionEURRevenue,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2And3GhgEmissionsInTonnes_2024,extendedDecimalScope1And2And3GhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2And3GhgEmissionsLocationBasedInTonnes_2024,extendedDecimalScope1And2And3GhgEmissionsLocationBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope1And2And3GhgEmissionsMarketBasedInTonnes_2024,extendedDecimalScope1And2And3GhgEmissionsMarketBasedInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalGhgIntensityInTonnesPerMillionEURRevenue_2024,extendedDecimalGhgIntensityInTonnesPerMillionEURRevenue,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalRenewableEnergyProductionInGWh_2024,extendedDecimalRenewableEnergyProductionInGWh,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalScope4GhgEmissionsInTonnes_2024,extendedDecimalScope4GhgEmissionsInTonnes,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalGhgIntensityScope4InTonnesPerMillionEURRevenue_2024,extendedDecimalGhgIntensityScope4InTonnesPerMillionEURRevenue,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_plainDateFiscalYearEnd_2024,plainDateFiscalYearEnd,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalNonRenewableEnergyConsumptionFossilFuelsInGWh_2024,extendedDecimalNonRenewableEnergyConsumptionFossilFuelsInGWh,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalNonRenewableEnergyConsumptionNaturalGasInGWh_2024,extendedDecimalNonRenewableEnergyConsumptionNaturalGasInGWh,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalNonRenewableEnergyConsumptionNuclearEnergyInGWh_2024,extendedDecimalNonRenewableEnergyConsumptionNuclearEnergyInGWh,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
b74fe176-8886-4127-aa88-a45a32c386ac_extendedDecimalRelativeNonRenewableEnergyConsumptionInPercent_2024,extendedDecimalRelativeNonRenewableEnergyConsumptionInPercent,2024,b74fe176-8886-4127-aa88-a45a32c386ac,adidas AG,Adidas AG
