indicator,num_companies,coverage_percentage
sfdr,33,35.869565217391305
extendedEnumYesNoControversialWeaponsExposure,33,35.869565217391305
extendedEnumYesNoDeforestationPolicy,33,35.869565217391305
extendedEnumYesNoEnvironmentalPolicy,33,35.869565217391305
extendedEnumYesNoFairCompetitionPolicy,33,35.869565217391305
extendedEnumYesNoFossilFuelSectorExposure,33,35.869565217391305
extendedEnumYesNoGrievanceHandlingMechanism,33,35.869565217391305
extendedEnumYesNoHighWaterStressAreaExposure,33,35.869565217391305
extendedEnumYesNoHighlyBiodiverseGrasslandExposure,33,35.869565217391305
extendedEnumYesNoHumanRightsDueDiligence,33,35.869565217391305
extendedEnumYesNoHumanRightsDueDiligencePolicy,33,35.869565217391305
extendedEnumYesNoHumanRightsLegalProceedings,33,35.869565217391305
extendedEnumYesNoHumanRightsPolicy,33,35.869565217391305
extendedEnumYesNoIloCoreLabourStandards,33,35.869565217391305
extendedDecimalNonRenewableEnergyConsumptionInGWh,33,35.869565217391305
extendedEnumYesNoIso14001Certificate,33,35.869565217391305
extendedEnumYesNoLandDegradationDesertificationSoilSealingExposure,33,35.869565217391305
extendedEnumYesNoCorruptionLegalProceedings,33,35.869565217391305
extendedEnumYesNoCarbonReductionInitiatives,33,35.869565217391305
extendedEnumYesNoOecdGuidelinesForMultinationalEnterprisesGrievanceHandling,33,35.869565217391305
extendedEnumYesNoBiodiversityProtectionPolicy,33,35.869565217391305
extendedDecimalRenewableEnergyConsumptionInGWh,33,35.869565217391305
extendedDecimalScope1And2And3GhgEmissionsMarketBasedInTonnes,33,35.869565217391305
extendedDecimalScope1And2GhgEmissionsInTonnes,33,35.869565217391305
extendedDecimalScope1And2GhgEmissionsMarketBasedInTonnes,33,35.869565217391305
extendedDecimalScope1GhgEmissionsInTonnes,33,35.869565217391305
extendedDecimalScope2GhgEmissionsInTonnes,33,35.869565217391305
extendedDecimalScope2GhgEmissionsLocationBasedInTonnes,33,35.869565217391305
extendedDecimalScope2GhgEmissionsMarketBasedInTonnes,33,35.869565217391305
extendedDecimalRelativeNonRenewableEnergyProductionInPercent,33,35.869565217391305
extendedDecimalScope3GhgEmissionsInTonnes,33,35.869565217391305
extendedDecimalRelativeNonRenewableEnergyConsumptionInPercent,33,35.869565217391305
extendedDecimalTotalRevenueInEUR,33,35.869565217391305
extendedDecimalRateOfAccidents,33,35.869565217391305
extendedDecimalNonRenewableEnergyConsumptionOtherInGWh,33,35.869565217391305
extendedDecimalWorkdaysLostInDays,33,35.869565217391305
extendedDecimalRenewableEnergyProductionInGWh,33,35.869565217391305
extendedEnumYesNoManufactureOfAgrochemicalPesticidesProducts,33,35.869565217391305
extendedEnumYesNoPolicyAgainstBriberyAndCorruption,33,35.869565217391305
extendedEnumYesNoTraffickingInHumanBeingsPolicy,33,35.869565217391305
plainEnumFiscalYearDeviation,33,35.869565217391305
plainDateSfdrDataDate,33,35.869565217391305
plainDateFiscalYearEnd,33,35.869565217391305
pcaf,33,35.869565217391305
extendedDecimalGhgIntensityInTonnesPerMillionEURRevenue,33,35.869565217391305
extendedDecimalGhgIntensityScope1InTonnesPerMillionEURRevenue,33,35.869565217391305
