indicator,count,percentage
plainEnumFiscalYearDeviation,66,0.5314437555358724
extendedEnumYesNoControversialWeaponsExposure,66,0.5314437555358724
plainDateSfdrDataDate,66,0.5314437555358724
sfdr,66,0.5314437555358724
plainDateFiscalYearEnd,66,0.5314437555358724
pcaf,66,0.5314437555358724
extendedEnumYesNoHumanRightsDueDiligence,65,0.5233915774216925
extendedEnumYesNoIloCoreLabourStandards,65,0.5233915774216925
extendedEnumYesNoUnGlobalCompactPrinciplesCompliancePolicy,65,0.5233915774216925
extendedEnumYesNoCorruptionLegalProceedings,64,0.5153393993075126
extendedEnumYesNoEnvironmentalPolicy,64,0.5153393993075126
extendedEnumYesNoCarbonReductionInitiatives,64,0.5153393993075126
extendedEnumYesNoHumanRightsDueDiligencePolicy,64,0.5153393993075126
extendedEnumYesNoWhistleblowerProtectionPolicy,64,0.5153393993075126
extendedEnumYesNoWaterManagementPolicy,64,0.5153393993075126
extendedDecimalScope1GhgEmissionsInTonnes,64,0.5153393993075126
extendedEnumYesNoManufactureOfAgrochemicalPesticidesProducts,64,0.5153393993075126
extendedEnumYesNoPrimaryForestAndWoodedLandOfNativeSpeciesExposure,64,0.5153393993075126
extendedEnumYesNoTransparencyDisclosurePolicy,64,0.5153393993075126
extendedEnumYesNoReportedForcedOrCompulsoryLabourIncidents,64,0.5153393993075126
extendedEnumYesNoPolicyAgainstChildLabour,64,0.5153393993075126
extendedEnumYesNoDeforestationPolicy,64,0.5153393993075126
extendedEnumYesNoPolicyAgainstDiscriminationInTheWorkplace,64,0.5153393993075126
extendedEnumYesNoIso14001Certificate,64,0.5153393993075126
extendedEnumYesNoPolicyAgainstBriberyAndCorruption,64,0.5153393993075126
extendedEnumYesNoFairCompetitionPolicy,64,0.5153393993075126
extendedEnumYesNoOecdGuidelinesForMultinationalEnterprisesGrievanceHandling,64,0.5153393993075126
extendedEnumYesNoGrievanceHandlingMechanism,64,0.5153393993075126
extendedEnumYesNoHumanRightsLegalProceedings,64,0.5153393993075126
extendedEnumYesNoTechnologiesExpertiseTransferPolicy,64,0.5153393993075126
extendedEnumYesNoViolationOfTaxRulesAndRegulation,64,0.5153393993075126
extendedEnumYesNoBiodiversityProtectionPolicy,64,0.5153393993075126
extendedDecimalBoardGenderDiversityBoardOfDirectorsInPercent,64,0.5153393993075126
extendedEnumYesNoPolicyAgainstForcedLabour,64,0.5153393993075126
extendedEnumYesNoWorkplaceAccidentPreventionPolicy,64,0.5153393993075126
extendedEnumYesNoThreatenedSpeciesExposure,64,0.5153393993075126
extendedEnumYesNoRareOrEndangeredEcosystemsExposure,64,0.5153393993075126
extendedDecimalScope1And2GhgEmissionsInTonnes,64,0.5153393993075126
extendedEnumYesNoReportedChildLabourIncidents,64,0.5153393993075126
extendedEnumYesNoTraffickingInHumanBeingsPolicy,64,0.5153393993075126
extendedEnumYesNoHumanRightsPolicy,64,0.5153393993075126
extendedDecimalScope2GhgEmissionsInTonnes,64,0.5153393993075126
extendedDecimalScope1And2And3GhgEmissionsInTonnes,64,0.5153393993075126
